"Study","Condition","Participant","Passed_Comp_Test","Position","Chose_Prioritarian","Repeat","Motiv_To_Change","Motiv_To_Maximize","Motiv_To_Prioritize","Risk","Pol_A","Pol_B","Rater_1_Fairness","Rater_2_Fairness","Fairness_Reasoning"
4,"V",147,TRUE,1,0,0,TRUE,0,1,9,1,2,0,0,0
4,"V",148,TRUE,2,1,0,FALSE,0,0,6,2,5,0,0,0
4,"V",149,FALSE,3,0,0,FALSE,0,0,9,2,3,1,1,1
4,"C",150,TRUE,4,1,0,FALSE,0,0,7,4,7,0,0,0
4,"V",151,TRUE,4,1,1,FALSE,0,0,3,3,5,1,1,1
4,"C",152,TRUE,2,0,1,TRUE,0,1,8,2,4,0,0,0
4,"C",153,FALSE,4,0,1,FALSE,0,0,10,3,5,0,0,0
4,"V",154,TRUE,2,1,1,FALSE,0,0,5,1,2,1,1,1
4,"V",155,TRUE,4,0,0,FALSE,0,0,6,3,4,0,0,0
4,"V",156,TRUE,1,1,1,FALSE,0,0,3,1,2,1,1,1
4,"C",157,TRUE,3,1,0,TRUE,1,0,8,1,1,1,1,1
4,"V",158,TRUE,3,1,1,FALSE,0,0,3,1,2,0,0,0
4,"C",159,TRUE,1,0,1,FALSE,0,0,2,5,7,0,0,0
4,"C",160,TRUE,4,1,1,TRUE,1,0,6,1,3,1,1,1
4,"V",161,TRUE,2,0,1,FALSE,0,0,6,3,5,0,1,0
4,"V",162,TRUE,3,1,1,TRUE,1,0,3,0,0,1,1,1
4,"C",163,TRUE,4,1,1,FALSE,0,0,5,2,6,0,0,0
4,"C",164,TRUE,3,1,0,TRUE,1,0,6,0,0,0,0,0
4,"C",165,TRUE,1,0,0,TRUE,0,1,5,2,5,0,0,0
4,"V",166,TRUE,3,0,0,FALSE,0,0,4,4,5,1,1,1
4,"V",167,TRUE,4,0,0,FALSE,0,0,4,4,6,0,0,0
4,"C",168,TRUE,4,1,0,TRUE,1,0,7,2,3,0,0,0
4,"V",169,FALSE,1,1,1,FALSE,0,0,3,5,9,1,1,1
4,"C",170,TRUE,3,1,1,FALSE,0,0,8,0,0,0,0,0
4,"C",171,TRUE,1,1,1,FALSE,0,0,7,1,2,1,1,1
4,"V",172,TRUE,1,0,1,FALSE,0,0,8,6,8,0,0,0
4,"C",173,TRUE,2,0,0,TRUE,0,1,4,0,0,0,0,0
4,"V",174,TRUE,3,0,0,FALSE,0,0,3,0,2,0,0,0
4,"V",175,TRUE,1,0,0,FALSE,0,0,6,1,2,0,0,0
4,"C",176,FALSE,3,0,0,FALSE,0,0,9,1,1,0,1,0
4,"V",177,FALSE,3,0,0,FALSE,0,0,2,2,3,0,0,0
4,"C",178,TRUE,3,1,0,TRUE,1,0,3,0,0,1,1,1
4,"C",179,TRUE,1,0,1,FALSE,0,0,2,3,6,0,0,0
4,"V",180,TRUE,1,1,1,FALSE,0,0,7,1,4,1,1,1
4,"V",181,TRUE,1,1,1,FALSE,0,0,3,2,4,1,1,1
4,"V",182,TRUE,3,1,0,FALSE,0,0,7,2,4,1,1,1
4,"V",183,TRUE,1,0,0,TRUE,0,1,2,4,5,0,0,0
4,"C",184,TRUE,3,1,1,FALSE,0,0,4,3,2,0,0,0
4,"V",185,TRUE,1,1,1,FALSE,0,0,2,0,1,1,1,1
4,"V",186,TRUE,3,1,0,TRUE,1,0,6,3,5,0,0,0
4,"C",187,TRUE,2,1,1,FALSE,0,0,5,0,2,1,1,1
4,"V",188,TRUE,4,0,0,FALSE,0,0,7,3,4,0,0,0
4,"V",189,TRUE,4,1,0,TRUE,1,0,7,2,3,0,0,0
4,"V",190,TRUE,4,0,0,FALSE,0,0,6,2,3,0,0,0
4,"V",191,TRUE,3,0,1,FALSE,0,0,5,3,5,1,1,1
4,"V",192,TRUE,2,0,1,FALSE,0,0,8,5,8,0,0,0
4,"C",193,TRUE,1,0,1,TRUE,0,1,4,3,5,0,0,0
4,"C",194,TRUE,3,1,0,FALSE,0,0,7,4,4,0,0,0
4,"C",195,TRUE,3,1,1,TRUE,1,0,6,5,8,1,0,1
4,"C",196,TRUE,3,1,1,TRUE,1,0,7,4,5,0,0,0
4,"C",197,FALSE,1,1,1,FALSE,0,0,7,3,5,0,0,0
4,"C",198,TRUE,3,1,0,TRUE,1,0,1,0,0,0,0,0
4,"V",199,TRUE,2,0,1,FALSE,0,0,7,3,5,0,0,0
4,"V",200,TRUE,4,1,1,FALSE,0,0,6,2,4,0,0,0
4,"C",201,TRUE,1,0,0,TRUE,0,1,3,1,2,0,0,0
4,"V",202,TRUE,2,0,0,TRUE,0,1,7,2,5,0,0,0
4,"V",203,TRUE,3,1,1,FALSE,0,0,6,2,4,0,1,1
4,"C",204,FALSE,1,1,0,FALSE,0,0,0,2,4,0,0,0
4,"C",205,TRUE,1,0,1,TRUE,0,1,7,3,5,0,0,0
4,"V",206,TRUE,2,0,1,TRUE,0,1,5,4,5,1,1,1
4,"V",207,TRUE,1,0,1,FALSE,0,0,7,0,1,0,0,0
4,"C",208,TRUE,1,1,1,FALSE,0,0,7,4,7,1,1,1
4,"C",209,TRUE,2,0,1,FALSE,0,0,8,1,2,0,0,0
4,"V",210,TRUE,2,1,1,FALSE,0,0,7,3,4,0,0,0
4,"C",211,TRUE,1,1,0,FALSE,0,0,1,4,5,0,0,0
4,"C",212,TRUE,2,1,1,FALSE,0,0,7,4,7,0,0,0
4,"V",213,FALSE,3,0,1,FALSE,0,0,7,1,1,0,0,0
4,"C",214,TRUE,4,1,1,FALSE,0,0,3,4,6,0,0,0
4,"V",215,TRUE,2,1,1,FALSE,0,0,8,4,5,1,1,1
4,"C",216,TRUE,4,1,1,FALSE,0,0,7,1,3,1,1,1
4,"C",217,TRUE,1,0,1,FALSE,0,0,7,4,6,0,0,0
4,"V",218,FALSE,2,0,1,FALSE,0,0,1,5,7,0,0,0
4,"C",219,TRUE,2,0,0,TRUE,0,1,5,3,5,0,0,0
4,"C",220,TRUE,3,1,1,FALSE,0,0,3,2,3,0,0,0
4,"C",221,TRUE,2,1,1,FALSE,0,0,2,0,0,1,1,1
4,"C",222,FALSE,4,1,0,FALSE,0,0,3,0,0,0,0,0
4,"C",223,TRUE,1,0,1,FALSE,0,0,5,4,5,0,0,0
4,"V",224,TRUE,4,1,1,FALSE,0,0,1,2,4,1,1,1
4,"C",225,TRUE,2,0,0,TRUE,0,1,6,3,5,0,0,0
4,"C",226,TRUE,3,1,1,FALSE,0,0,2,3,5,0,0,0
4,"V",227,FALSE,2,1,1,FALSE,0,0,5,3,5,0,0,0
4,"V",228,TRUE,3,1,1,TRUE,1,0,7,2,5,0,0,0
4,"C",229,TRUE,2,0,0,TRUE,0,1,2,1,2,0,0,0
4,"C",230,TRUE,3,1,0,TRUE,1,0,8,4,6,0,0,0
4,"V",231,TRUE,4,1,1,FALSE,0,0,3,1,3,0,0,0
4,"C",232,TRUE,4,1,1,FALSE,0,0,2,3,5,1,1,1
4,"V",233,TRUE,1,0,1,FALSE,0,0,4,3,3,0,0,0
4,"C",234,TRUE,1,0,1,FALSE,0,0,6,0,0,0,0,0
4,"C",235,TRUE,2,0,0,TRUE,0,1,7,2,3,0,0,0
4,"V",236,FALSE,2,0,1,TRUE,0,1,6,3,5,0,0,0
4,"C",237,TRUE,1,1,1,FALSE,0,0,6,0,0,0,0,0
4,"C",238,TRUE,2,0,1,FALSE,0,0,5,1,2,0,0,0
4,"C",239,TRUE,3,1,0,TRUE,1,0,4,3,5,0,0,0
4,"C",240,TRUE,4,1,0,TRUE,1,0,6,2,2,0,0,0
4,"C",241,TRUE,3,1,1,FALSE,0,0,4,1,1,0,0,0
4,"C",242,TRUE,4,1,1,FALSE,0,0,4,2,5,0,0,0
4,"C",243,TRUE,4,1,1,FALSE,0,0,3,1,1,0,0,0
4,"C",244,TRUE,1,0,0,FALSE,0,0,6,1,3,0,0,0
4,"C",245,TRUE,1,0,0,TRUE,0,1,6,0,0,0,0,0
4,"C",246,TRUE,1,0,1,FALSE,0,0,2,3,5,0,0,0
4,"C",247,TRUE,1,0,1,TRUE,0,1,5,2,4,0,0,0
4,"C",248,TRUE,3,1,1,TRUE,1,0,0,3,5,1,1,1
4,"C",249,TRUE,3,0,1,FALSE,0,0,4,4,6,0,1,1
4,"C",250,TRUE,1,0,1,TRUE,0,1,7,4,5,0,0,0
4,"C",251,TRUE,1,1,1,FALSE,0,0,5,4,5,1,1,1
4,"C",252,TRUE,1,0,1,FALSE,0,0,1,0,0,0,0,0
4,"V",253,TRUE,3,1,0,FALSE,0,0,6,1,3,0,0,0
